ball,main_frequency,main_expected,main_difference,main_z_score,additional_frequency,additional_expected
1,158,149.265,8.735,0.763,27,24.878
2,153,149.265,3.735,0.326,27,24.878
3,147,149.265,-2.265,-0.198,21,24.878
4,152,149.265,2.735,0.239,17,24.878
5,156,149.265,6.735,0.588,20,24.878
6,148,149.265,-1.265,-0.111,33,24.878
7,145,149.265,-4.265,-0.373,25,24.878
8,159,149.265,9.735,0.851,28,24.878
9,152,149.265,2.735,0.239,18,24.878
10,155,149.265,5.735,0.501,25,24.878
11,147,149.265,-2.265,-0.198,19,24.878
12,158,149.265,8.735,0.763,25,24.878
13,142,149.265,-7.265,-0.635,25,24.878
14,140,149.265,-9.265,-0.81,20,24.878
15,176,149.265,26.735,2.336,22,24.878
16,142,149.265,-7.265,-0.635,28,24.878
17,144,149.265,-5.265,-0.46,21,24.878
18,139,149.265,-10.265,-0.897,29,24.878
19,144,149.265,-5.265,-0.46,25,24.878
20,145,149.265,-4.265,-0.373,37,24.878
21,143,149.265,-6.265,-0.547,32,24.878
22,165,149.265,15.735,1.375,22,24.878
23,148,149.265,-1.265,-0.111,25,24.878
24,151,149.265,1.735,0.152,25,24.878
25,137,149.265,-12.265,-1.072,25,24.878
26,143,149.265,-6.265,-0.547,20,24.878
27,145,149.265,-4.265,-0.373,25,24.878
28,163,149.265,13.735,1.2,22,24.878
29,133,149.265,-16.265,-1.421,30,24.878
30,156,149.265,6.735,0.588,26,24.878
31,151,149.265,1.735,0.152,32,24.878
32,159,149.265,9.735,0.851,14,24.878
33,132,149.265,-17.265,-1.509,32,24.878
34,149,149.265,-0.265,-0.023,30,24.878
35,158,149.265,8.735,0.763,27,24.878
36,155,149.265,5.735,0.501,27,24.878
37,154,149.265,4.735,0.414,26,24.878
38,146,149.265,-3.265,-0.285,18,24.878
39,145,149.265,-4.265,-0.373,23,24.878
40,172,149.265,22.735,1.986,18,24.878
41,136,149.265,-13.265,-1.159,26,24.878
42,128,149.265,-21.265,-1.858,28,24.878
43,146,149.265,-3.265,-0.285,19,24.878
44,157,149.265,7.735,0.676,29,24.878
45,119,149.265,-30.265,-2.644,20,24.878
46,166,149.265,16.735,1.462,25,24.878
47,139,149.265,-10.265,-0.897,20,24.878
48,154,149.265,4.735,0.414,33,24.878
49,162,149.265,12.735,1.113,28,24.878
