number_1,number_2,frequency
2,15,30
5,49,30
8,17,29
25,28,28
15,40,28
22,36,27
27,44,26
21,27,26
21,30,26
4,15,26
14,28,26
1,41,26
8,11,25
5,30,25
21,35,25
2,19,24
9,15,24
10,15,24
2,36,24
18,49,24
7,30,24
1,15,24
40,49,24
22,32,24
6,37,24
12,15,24
8,46,24
15,35,24
22,40,24
9,40,23
11,21,23
5,44,23
12,46,23
24,46,23
23,49,23
11,46,23
14,36,23
24,37,23
1,48,23
22,31,23
1,40,23
11,22,23
18,35,23
28,46,23
30,32,23
25,29,23
12,47,22
43,48,22
4,31,22
9,44,22
34,40,22
5,28,22
5,38,22
19,26,22
26,46,22
32,38,22
38,40,22
2,29,22
9,23,22
9,27,22
15,17,22
5,9,22
28,44,22
10,32,22
10,44,22
1,4,22
4,47,22
18,48,22
22,37,22
6,40,22
8,10,22
15,32,22
12,30,22
3,32,22
28,37,22
6,35,22
35,46,22
39,46,22
7,32,22
26,34,22
28,38,22
6,26,22
11,28,21
25,34,21
28,48,21
4,40,21
4,44,21
40,47,21
19,33,21
10,46,21
9,28,21
1,7,21
17,40,21
21,39,21
19,37,21
22,35,21
27,34,21
30,46,21
36,46,21
15,22,21
15,31,21
18,24,21
24,26,21
7,35,21
14,23,21
23,40,21
30,39,21
40,43,21
31,46,21
35,49,21
30,48,21
34,46,21
9,46,21
3,12,21
8,15,21
36,44,21
14,35,21
32,49,21
15,30,21
2,35,21
28,31,20
20,27,20
38,44,20
19,46,20
31,38,20
32,40,20
22,24,20
22,46,20
3,19,20
25,36,20
6,36,20
20,36,20
28,49,20
1,45,20
6,45,20
10,37,20
33,37,20
5,12,20
5,46,20
9,11,20
1,24,20
4,48,20
48,49,20
1,35,20
34,38,20
3,9,20
23,24,20
8,48,20
10,45,20
4,22,20
4,32,20
13,26,20
2,17,20
12,35,20
5,23,20
22,29,20
3,18,20
24,43,20
9,36,20
27,36,20
14,30,20
8,43,20
20,21,20
36,41,20
20,49,20
13,16,20
27,48,20
4,13,20
10,49,20
8,12,20
19,23,20
5,48,20
1,3,20
8,35,20
30,35,20
8,28,20
8,16,20
25,40,20
10,39,20
36,40,20
36,49,20
40,48,20
16,24,20
14,17,20
1,39,20
23,42,20
4,12,20
15,48,20
25,44,20
31,43,19
31,48,19
40,44,19
11,17,19
22,34,19
12,26,19
38,47,19
24,47,19
2,33,19
9,17,19
9,49,19
4,43,19
18,44,19
44,49,19
1,30,19
19,40,19
33,40,19
16,22,19
32,44,19
15,42,19
1,44,19
1,18,19
4,18,19
7,15,19
32,48,19
21,25,19
12,32,19
17,22,19
2,28,19
13,28,19
7,12,19
24,44,19
15,47,19
3,38,19
14,40,19
12,21,19
3,48,19
1,28,19
14,31,19
6,17,19
11,36,19
8,24,19
17,32,19
8,19,19
17,48,19
35,41,19
20,31,19
29,36,19
3,41,19
22,49,19
3,34,19
17,46,19
4,24,19
13,37,19
24,34,19
8,34,19
23,48,19
1,10,19
1,32,19
3,40,19
34,43,19
24,49,19
21,40,19
2,12,19
22,43,19
15,16,19
16,20,19
39,43,19
11,26,19
3,39,19
44,48,19
2,8,19
15,43,19
21,44,19
10,16,19
28,43,18
9,34,18
31,40,18
31,44,18
11,49,18
5,27,18
31,32,18
31,39,18
32,47,18
22,47,18
15,23,18
27,49,18
10,11,18
11,15,18
19,36,18
6,20,18
6,43,18
5,18,18
9,18,18
6,30,18
23,30,18
10,24,18
28,39,18
33,38,18
5,16,18
1,42,18
15,24,18
35,37,18
15,38,18
32,41,18
5,40,18
26,47,18
30,36,18
8,20,18
8,39,18
20,39,18
10,25,18
10,48,18
15,36,18
37,46,18
41,42,18
39,44,18
10,43,18
33,39,18
12,38,18
45,47,18
11,19,18
22,42,18
3,49,18
13,40,18
4,35,18
18,32,18
16,17,18
15,28,18
3,23,18
20,23,18
23,32,18
13,38,18
3,8,18
8,14,18
35,42,18
2,26,18
13,34,18
18,34,18
2,49,18
10,21,18
5,8,18
7,33,18
8,33,18
16,23,18
8,30,18
29,49,18
10,35,18
27,28,18
37,47,18
14,37,18
12,20,18
35,43,18
7,17,18
43,49,18
22,23,18
12,39,18
21,22,18
1,38,18
28,30,18
9,20,18
30,44,18
5,37,18
15,44,18
21,37,18
7,48,18
6,34,18
12,23,18
11,47,17
12,28,17
28,34,17
4,34,17
8,41,17
8,49,17
5,34,17
5,20,17
5,42,17
27,38,17
45,46,17
39,40,17
2,24,17
24,38,17
10,40,17
15,46,17
3,5,17
19,25,17
18,28,17
30,45,17
31,37,17
26,40,17
5,26,17
11,13,17
11,30,17
1,22,17
22,27,17
27,37,17
34,35,17
34,37,17
5,7,17
7,38,17
25,32,17
2,37,17
3,16,17
9,16,17
24,36,17
5,31,17
26,31,17
6,46,17
6,15,17
6,49,17
15,45,17
45,49,17
18,41,17
39,41,17
32,36,17
13,32,17
19,22,17
13,19,17
7,44,17
12,24,17
12,44,17
15,20,17
7,41,17
15,29,17
26,29,17
16,27,17
46,48,17
6,11,17
24,32,17
3,20,17
7,21,17
8,47,17
20,35,17
19,24,17
13,46,17
20,28,17
20,46,17
35,39,17
3,22,17
29,31,17
10,42,17
25,49,17
26,41,17
20,40,17
6,27,17
9,10,17
14,25,17
30,49,17
10,28,17
10,33,17
16,49,17
7,18,17
18,27,17
2,43,17
20,37,17
37,43,17
4,46,17
11,32,17
26,39,17
24,29,17
15,39,17
7,40,17
3,44,17
16,32,17
4,21,17
23,34,17
28,40,17
1,43,17
6,16,17
31,34,16
17,21,16
41,49,16
5,22,16
22,33,16
25,33,16
12,19,16
39,47,16
38,46,16
46,47,16
19,29,16
29,33,16
29,42,16
33,42,16
15,49,16
2,10,16
2,40,16
3,36,16
5,36,16
20,43,16
1,23,16
7,23,16
10,31,16
17,28,16
26,37,16
22,26,16
10,38,16
19,44,16
1,5,16
5,24,16
1,27,16
1,31,16
1,49,16
9,38,16
41,43,16
41,47,16
41,48,16
2,9,16
21,31,16
5,47,16
20,29,16
8,31,16
12,13,16
13,47,16
2,45,16
13,41,16
19,20,16
15,26,16
30,33,16
33,47,16
6,21,16
6,25,16
12,43,16
6,13,16
6,32,16
35,48,16
25,27,16
2,31,16
18,37,16
3,6,16
17,19,16
20,22,16
6,8,16
6,18,16
35,38,16
16,38,16
28,35,16
36,39,16
38,41,16
2,48,16
30,42,16
3,46,16
13,18,16
40,42,16
10,13,16
23,25,16
11,20,16
20,33,16
7,8,16
10,12,16
2,20,16
2,27,16
7,29,16
13,48,16
3,13,16
3,27,16
7,14,16
23,28,16
10,27,16
10,36,16
18,36,16
11,35,16
26,44,16
26,49,16
4,39,16
7,47,16
16,35,16
29,37,16
2,4,16
19,35,16
34,49,16
16,21,16
7,39,16
3,43,16
22,39,16
32,46,16
12,29,16
1,36,16
4,30,16
4,25,16
34,36,16
7,42,16
27,32,16
17,30,16
39,42,16
24,45,16
30,43,16
32,37,16
34,45,16
13,35,16
30,37,16
11,34,15
5,25,15
22,28,15
20,38,15
20,44,15
2,46,15
17,23,15
40,46,15
2,3,15
2,25,15
4,14,15
17,31,15
17,39,15
26,38,15
12,22,15
16,46,15
9,13,15
13,27,15
10,19,15
42,47,15
31,49,15
1,34,15
1,37,15
27,35,15
7,9,15
7,34,15
31,33,15
33,36,15
12,40,15
20,41,15
37,45,15
5,14,15
2,13,15
28,41,15
11,38,15
9,47,15
14,15,15
19,47,15
7,19,15
3,15,15
30,38,15
3,4,15
16,25,15
17,25,15
1,9,15
2,30,15
14,46,15
8,32,15
6,41,15
5,13,15
14,29,15
31,35,15
31,42,15
18,22,15
18,47,15
14,38,15
9,35,15
